mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P10,valence,eeg,knn,20,20,5,0.5385714285714286,0.11401754250991383,0.5071428571428571,0.40714285714285714,0.6642857142857144,0.575,0.6021765644056666,0.7571428571428571,0.6638201368523949
individual,P10,valence,eeg,knn,5,5,5,0.5257142857142858,0.09657396446374615,0.5285714285714286,0.4214285714285715,0.6642857142857144,0.5666666666666667,0.5942262897061659,0.7714285714285715,0.6671563926971896
individual,P10,valence,eeg,knn,all,all,5,0.5028571428571429,0.09155682968093909,0.5071428571428571,0.36428571428571427,0.6142857142857143,0.5333333333333333,0.5764626876391582,0.6857142857142857,0.6226480377097074
individual,P10,valence,eeg,svm,10,10,5,0.45999999999999996,0.14468473820478706,0.39285714285714285,0.3142857142857143,0.6785714285714286,0.4833333333333334,0.53577964519141,0.6,0.5579613500379115
individual,P10,valence,eeg,svm,20,20,5,0.5042857142857142,0.15920721960862896,0.5,0.3142857142857143,0.7428571428571429,0.525,0.5876283846872082,0.6285714285714286,0.6041784828075151
individual,P10,valence,eeg,svm,5,5,5,0.5314285714285714,0.12274496539822823,0.5071428571428571,0.3857142857142857,0.6928571428571428,0.5666666666666667,0.6054248366013072,0.7428571428571429,0.6653642391328055
individual,P10,valence,eeg,svm,all,all,5,0.40857142857142853,0.14136723056476355,0.5,0.17857142857142858,0.5,0.45,0.5089743589743589,0.6571428571428571,0.5602835559278391
individual,P10,valence,face,gnb,10,10,5,0.4757142857142857,0.10980037545008484,0.4357142857142857,0.3857142857142857,0.6642857142857143,0.4583333333333333,0.5339775910364145,0.37142857142857144,0.40742624079665235
individual,P10,valence,face,gnb,20,10,5,0.4757142857142857,0.10980037545008484,0.4357142857142857,0.3857142857142857,0.6642857142857143,0.4583333333333333,0.5339775910364145,0.37142857142857144,0.40742624079665235
individual,P10,valence,face,gnb,5,5,5,0.5128571428571429,0.08651412530651292,0.47857142857142854,0.4285714285714286,0.6285714285714286,0.5083333333333333,0.6315018315018315,0.48571428571428577,0.5194179894179894
individual,P10,valence,face,gnb,all,all,5,0.4757142857142857,0.10980037545008484,0.4357142857142857,0.3857142857142857,0.6642857142857143,0.4583333333333333,0.5339775910364145,0.37142857142857144,0.40742624079665235
individual,P10,valence,face,knn,10,10,5,0.5714285714285714,0.043740888263985325,0.55,0.5285714285714286,0.6285714285714286,0.5833333333333333,0.6411616161616162,0.6428571428571429,0.6283401253918496
individual,P10,valence,face,knn,20,10,5,0.5714285714285714,0.043740888263985325,0.55,0.5285714285714286,0.6285714285714286,0.5833333333333333,0.6411616161616162,0.6428571428571429,0.6283401253918496
individual,P10,valence,face,knn,5,5,5,0.5242857142857142,0.07899237886256713,0.5071428571428571,0.4214285714285715,0.6357142857142857,0.5416666666666666,0.610650623885918,0.6285714285714286,0.6141869313482217
individual,P10,valence,face,knn,all,all,5,0.5714285714285714,0.043740888263985325,0.55,0.5285714285714286,0.6285714285714286,0.5833333333333333,0.6411616161616162,0.6428571428571429,0.6283401253918496
individual,P10,valence,face,svm,10,10,5,0.5571428571428572,0.11134612334371355,0.5214285714285715,0.41428571428571426,0.7071428571428571,0.5666666666666667,0.6323076923076922,0.6142857142857143,0.6220650358581393
individual,P10,valence,face,svm,20,10,5,0.5571428571428572,0.11134612334371355,0.5214285714285715,0.41428571428571426,0.7071428571428571,0.5666666666666667,0.6323076923076922,0.6142857142857143,0.6220650358581393
individual,P10,valence,face,svm,5,5,5,0.4714285714285714,0.11528580279692123,0.4714285714285714,0.2857142857142857,0.5714285714285714,0.5166666666666666,0.5668133195307108,0.7428571428571429,0.6376833976833977
individual,P10,valence,face,svm,all,all,5,0.5571428571428572,0.11134612334371355,0.5214285714285715,0.41428571428571426,0.7071428571428571,0.5666666666666667,0.6323076923076922,0.6142857142857143,0.6220650358581393
individual,P10,valence,multimodal,gnb,10,10,5,0.41428571428571426,0.08733585186169632,0.3857142857142857,0.3142857142857143,0.5285714285714286,0.45,0.5123076923076922,0.6285714285714286,0.5595891690009337
individual,P10,valence,multimodal,gnb,20,20,5,0.43285714285714283,0.14442002235542983,0.42857142857142855,0.24285714285714285,0.6428571428571428,0.4583333333333333,0.5223484848484847,0.5857142857142856,0.5442051282051282
individual,P10,valence,multimodal,gnb,5,5,5,0.47714285714285715,0.0941394970135234,0.5142857142857143,0.34285714285714286,0.5785714285714285,0.5166666666666666,0.5503799605966788,0.7142857142857142,0.6138711594119564
individual,P10,valence,multimodal,gnb,all,all,5,0.4557142857142857,0.09667956751822072,0.4642857142857143,0.3,0.5428571428571428,0.4916666666666667,0.5488131313131313,0.6714285714285714,0.597421568627451
individual,P10,valence,multimodal,knn,10,10,5,0.49857142857142855,0.04828698223187306,0.5071428571428571,0.4357142857142857,0.5642857142857143,0.5416666666666666,0.578805067481538,0.7571428571428571,0.652392958666596
individual,P10,valence,multimodal,knn,20,20,5,0.5057142857142857,0.09746794344808962,0.4642857142857143,0.40714285714285714,0.65,0.5333333333333334,0.5803797080112869,0.6714285714285715,0.6142491582491583
individual,P10,valence,multimodal,knn,5,5,5,0.5014285714285714,0.06214696209758913,0.5285714285714286,0.4214285714285715,0.5642857142857143,0.5416666666666666,0.5796064066652302,0.7428571428571429,0.6470806351214321
individual,P10,valence,multimodal,knn,all,all,5,0.5314285714285714,0.18333642545320664,0.5357142857142857,0.35,0.7571428571428571,0.55,0.6132523616734143,0.6428571428571429,0.623043878216292
individual,P10,valence,multimodal,svm,10,10,5,0.45,0.12637004294967238,0.39285714285714285,0.3142857142857143,0.6285714285714286,0.475,0.5279365079365079,0.6,0.5531226403604921
individual,P10,valence,multimodal,svm,20,20,5,0.49428571428571433,0.1354697044225259,0.5,0.32857142857142857,0.6928571428571428,0.5166666666666667,0.5725490196078431,0.6285714285714286,0.5936450253927189
individual,P10,valence,multimodal,svm,5,5,5,0.4757142857142857,0.08829449794492826,0.4571428571428572,0.3857142857142857,0.6142857142857143,0.525,0.5636601307189543,0.7714285714285715,0.648105296447951
individual,P10,valence,multimodal,svm,all,all,5,0.41142857142857137,0.14468473820478703,0.4642857142857143,0.15714285714285714,0.5,0.45,0.49909090909090914,0.6428571428571429,0.5472355158453162
individual,P11,arousal,eeg,gnb,10,10,5,0.5084415584415585,0.10650449400052629,0.534965034965035,0.32867132867132864,0.6,0.5333333333333333,0.5647000058764765,0.6714285714285715,0.6086008376330957
individual,P11,arousal,eeg,gnb,20,20,5,0.5239260739260739,0.11714899594793604,0.5785714285714285,0.35,0.6258741258741258,0.5416666666666666,0.5863157894736842,0.6296703296703297,0.6039373040752352
individual,P11,arousal,eeg,gnb,5,5,5,0.5800599400599401,0.08927053167267422,0.5928571428571429,0.45104895104895104,0.6642857142857144,0.6,0.6233967271118974,0.7164835164835165,0.6645906065260905
individual,P11,arousal,eeg,gnb,all,all,5,0.49355644355644357,0.02442072194485095,0.48601398601398604,0.4714285714285714,0.5214285714285715,0.4666666666666666,0.5342857142857143,0.27802197802197803,0.3400856434527834
individual,P11,arousal,eeg,knn,10,10,5,0.511908091908092,0.13584306430738763,0.520979020979021,0.36713286713286714,0.6785714285714286,0.5333333333333334,0.5713352007469654,0.6747252747252748,0.6173575577802497
individual,P11,arousal,eeg,knn,20,20,5,0.48866133866133865,0.14866334473928597,0.5279720279720279,0.25,0.6214285714285714,0.5083333333333333,0.5627262443438914,0.6318681318681318,0.5934330325876488
