mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,svr,20,20,eeg_bp_beta__PO8,0,46,0.0,5.522389594794757
general,arousal,eeg,svr,20,20,eeg_bp_beta__Pz,39,46,0.8478260869565217,23.063695499862433
general,arousal,eeg,svr,20,20,eeg_bp_delta__C3,0,46,0.0,5.3463778104537605
general,arousal,eeg,svr,20,20,eeg_bp_delta__C4,0,46,0.0,3.2682534854947436
general,arousal,eeg,svr,20,20,eeg_bp_delta__Cz,0,46,0.0,4.418615957942825
general,arousal,eeg,svr,20,20,eeg_bp_delta__Fz,0,46,0.0,13.0172872183545
general,arousal,eeg,svr,20,20,eeg_bp_delta__Oz,0,46,0.0,2.796048203471645
general,arousal,eeg,svr,20,20,eeg_bp_delta__PO7,0,46,0.0,3.8845724682121303
general,arousal,eeg,svr,20,20,eeg_bp_delta__PO8,0,46,0.0,6.718534566039267
general,arousal,eeg,svr,20,20,eeg_bp_delta__Pz,0,46,0.0,0.2523954378288423
general,arousal,eeg,svr,20,20,eeg_bp_gamma__C3,0,46,0.0,4.532618810905625
general,arousal,eeg,svr,20,20,eeg_bp_gamma__C4,0,46,0.0,0.12182784161258862
general,arousal,eeg,svr,20,20,eeg_bp_gamma__Cz,0,46,0.0,2.2744349682025944
general,arousal,eeg,svr,20,20,eeg_bp_gamma__Fz,0,46,0.0,0.26431596283796466
general,arousal,eeg,svr,20,20,eeg_bp_gamma__Oz,0,46,0.0,0.20285683110602676
general,arousal,eeg,svr,20,20,eeg_bp_gamma__PO7,0,46,0.0,2.0376039579233236
general,arousal,eeg,svr,20,20,eeg_bp_gamma__PO8,0,46,0.0,4.863225129570936
general,arousal,eeg,svr,20,20,eeg_bp_gamma__Pz,0,46,0.0,0.2746681903358055
general,arousal,eeg,svr,20,20,eeg_bp_theta__C3,0,46,0.0,0.0793186338490144
general,arousal,eeg,svr,20,20,eeg_bp_theta__C4,0,46,0.0,1.7135772766192914
general,arousal,eeg,svr,20,20,eeg_bp_theta__Cz,1,46,0.021739130434782608,16.17182496003466
general,arousal,eeg,svr,20,20,eeg_bp_theta__Fz,1,46,0.021739130434782608,15.00283883394828
general,arousal,eeg,svr,20,20,eeg_bp_theta__Oz,9,46,0.1956521739130435,19.55145328518063
general,arousal,eeg,svr,20,20,eeg_bp_theta__PO7,0,46,0.0,7.9949855727114745
general,arousal,eeg,svr,20,20,eeg_bp_theta__PO8,1,46,0.021739130434782608,15.072572104252428
general,arousal,eeg,svr,20,20,eeg_bp_theta__Pz,0,46,0.0,1.4352029386273646
general,arousal,eeg,svr,20,20,eeg_hc__C3,46,46,1.0,40.12921554921718
general,arousal,eeg,svr,20,20,eeg_hc__C4,45,46,0.9782608695652174,27.415477863483414
general,arousal,eeg,svr,20,20,eeg_hc__Cz,46,46,1.0,29.305188755678095
general,arousal,eeg,svr,20,20,eeg_hc__Fz,45,46,0.9782608695652174,28.500446612307858
general,arousal,eeg,svr,20,20,eeg_hc__Oz,40,46,0.8695652173913043,23.696226110565917
general,arousal,eeg,svr,20,20,eeg_hc__PO7,46,46,1.0,41.490325213769445
general,arousal,eeg,svr,20,20,eeg_hc__PO8,46,46,1.0,57.78676643932668
general,arousal,eeg,svr,20,20,eeg_hc__Pz,45,46,0.9782608695652174,40.43049230258843
general,arousal,eeg,svr,20,20,eeg_hm__C3,2,46,0.043478260869565216,17.80496457793558
general,arousal,eeg,svr,20,20,eeg_hm__C4,0,46,0.0,0.3021573739841284
general,arousal,eeg,svr,20,20,eeg_hm__Cz,45,46,0.9782608695652174,29.950802223320533
general,arousal,eeg,svr,20,20,eeg_hm__Fz,1,46,0.021739130434782608,14.215923519143914
general,arousal,eeg,svr,20,20,eeg_hm__Oz,0,46,0.0,5.879758627572386
general,arousal,eeg,svr,20,20,eeg_hm__PO7,1,46,0.021739130434782608,12.023991334594175
general,arousal,eeg,svr,20,20,eeg_hm__PO8,45,46,0.9782608695652174,30.07098091697196
general,arousal,eeg,svr,20,20,eeg_hm__Pz,1,46,0.021739130434782608,14.383018390506715
general,arousal,eeg,svr,20,20,eeg_mf_hz__C3,46,46,1.0,42.67709845779662
general,arousal,eeg,svr,20,20,eeg_mf_hz__C4,0,46,0.0,10.089681392881193
general,arousal,eeg,svr,20,20,eeg_mf_hz__Cz,25,46,0.5434782608695652,21.794297573476783
general,arousal,eeg,svr,20,20,eeg_mf_hz__Fz,0,46,0.0,9.859756782923396
general,arousal,eeg,svr,20,20,eeg_mf_hz__Oz,0,46,0.0,4.248822173008478
general,arousal,eeg,svr,20,20,eeg_mf_hz__PO7,3,46,0.06521739130434782,18.27229685769313
general,arousal,eeg,svr,20,20,eeg_mf_hz__PO8,46,46,1.0,29.821467373525344
general,arousal,eeg,svr,20,20,eeg_mf_hz__Pz,45,46,0.9782608695652174,25.334450186984085
general,arousal,eeg,svr,20,20,eeg_sd__C3,0,46,0.0,0.6090470352245111
general,arousal,eeg,svr,20,20,eeg_sd__C4,0,46,0.0,4.582193859863685
general,arousal,eeg,svr,20,20,eeg_sd__Cz,0,46,0.0,0.7518987040607806
general,arousal,eeg,svr,20,20,eeg_sd__Fz,0,46,0.0,5.558836582993354
general,arousal,eeg,svr,20,20,eeg_sd__Oz,1,46,0.021739130434782608,13.069104128393002
general,arousal,eeg,svr,20,20,eeg_sd__PO7,0,46,0.0,0.08526492588727028
general,arousal,eeg,svr,20,20,eeg_sd__PO8,0,46,0.0,2.8930006282194682
general,arousal,eeg,svr,20,20,eeg_sd__Pz,34,46,0.7391304347826086,22.179004384116624
general,arousal,eeg,svr,20,20,eeg_se__C3,0,46,0.0,0.5681354012448976
general,arousal,eeg,svr,20,20,eeg_se__C4,0,46,0.0,4.474809075196373
general,arousal,eeg,svr,20,20,eeg_se__Cz,2,46,0.043478260869565216,11.442860254305831
general,arousal,eeg,svr,20,20,eeg_se__Fz,0,46,0.0,6.273832406186996
general,arousal,eeg,svr,20,20,eeg_se__Oz,0,46,0.0,5.6509064909541475
general,arousal,eeg,svr,20,20,eeg_se__PO7,0,46,0.0,3.1632179217646756
general,arousal,eeg,svr,20,20,eeg_se__PO8,1,46,0.021739130434782608,13.472466887447652
general,arousal,eeg,svr,20,20,eeg_se__Pz,0,46,0.0,1.2747211770741629
general,arousal,eeg,svr,20,20,eeg_se_alpha__C3,0,46,0.0,0.15520151274426483
general,arousal,eeg,svr,20,20,eeg_se_alpha__C4,0,46,0.0,0.21466554533547552
general,arousal,eeg,svr,20,20,eeg_se_alpha__Cz,0,46,0.0,0.5770205857411955
general,arousal,eeg,svr,20,20,eeg_se_alpha__Fz,0,46,0.0,0.09948462457765438
general,arousal,eeg,svr,20,20,eeg_se_alpha__Oz,0,46,0.0,4.664364981672196
general,arousal,eeg,svr,20,20,eeg_se_alpha__PO7,0,46,0.0,0.29563901980972146
general,arousal,eeg,svr,20,20,eeg_se_alpha__PO8,0,46,0.0,4.569306786466883
general,arousal,eeg,svr,20,20,eeg_se_alpha__Pz,0,46,0.0,5.96417694310542
general,arousal,eeg,svr,20,20,eeg_se_beta__C3,0,46,0.0,0.9643117429458654
general,arousal,eeg,svr,20,20,eeg_se_beta__C4,1,46,0.021739130434782608,11.09672112307085
general,arousal,eeg,svr,20,20,eeg_se_beta__Cz,0,46,0.0,0.8768599381096914
general,arousal,eeg,svr,20,20,eeg_se_beta__Fz,0,46,0.0,3.446626525962939
general,arousal,eeg,svr,20,20,eeg_se_beta__Oz,0,46,0.0,2.0796565964294342
general,arousal,eeg,svr,20,20,eeg_se_beta__PO7,1,46,0.021739130434782608,9.794608614066792
general,arousal,eeg,svr,20,20,eeg_se_beta__PO8,0,46,0.0,5.7371445991559655
general,arousal,eeg,svr,20,20,eeg_se_beta__Pz,44,46,0.9565217391304348,28.322706889658647
general,arousal,eeg,svr,20,20,eeg_se_delta__C3,0,46,0.0,1.3891642094602425
general,arousal,eeg,svr,20,20,eeg_se_delta__C4,0,46,0.0,0.17178922421493215
general,arousal,eeg,svr,20,20,eeg_se_delta__Cz,0,46,0.0,0.03057591015420627
general,arousal,eeg,svr,20,20,eeg_se_delta__Fz,0,46,0.0,0.4762768537719983
general,arousal,eeg,svr,20,20,eeg_se_delta__Oz,0,46,0.0,0.25207736863504954
general,arousal,eeg,svr,20,20,eeg_se_delta__PO7,0,46,0.0,0.51654140133697
general,arousal,eeg,svr,20,20,eeg_se_delta__PO8,0,46,0.0,0.41653783243952547
general,arousal,eeg,svr,20,20,eeg_se_delta__Pz,0,46,0.0,1.4051136728003162
general,arousal,eeg,svr,20,20,eeg_se_gamma__C3,45,46,0.9782608695652174,29.24185570302742
general,arousal,eeg,svr,20,20,eeg_se_gamma__C4,27,46,0.5869565217391305,21.885732729906955
general,arousal,eeg,svr,20,20,eeg_se_gamma__Cz,0,46,0.0,6.80376391499425
general,arousal,eeg,svr,20,20,eeg_se_gamma__Fz,0,46,0.0,11.017056883642764
general,arousal,eeg,svr,20,20,eeg_se_gamma__Oz,0,46,0.0,3.9173859002161957
general,arousal,eeg,svr,20,20,eeg_se_gamma__PO7,0,46,0.0,7.78405098066266
general,arousal,eeg,svr,20,20,eeg_se_gamma__PO8,0,46,0.0,5.685644073559085
general,arousal,eeg,svr,20,20,eeg_se_gamma__Pz,0,46,0.0,7.827401787309911
general,arousal,eeg,svr,20,20,eeg_se_theta__C3,0,46,0.0,0.4272532713215939
general,arousal,eeg,svr,20,20,eeg_se_theta__C4,0,46,0.0,4.543524687208455
general,arousal,eeg,svr,20,20,eeg_se_theta__Cz,0,46,0.0,0.12183704428368258
general,arousal,eeg,svr,20,20,eeg_se_theta__Fz,0,46,0.0,3.3699530908187034
general,arousal,eeg,svr,20,20,eeg_se_theta__Oz,0,46,0.0,0.5334460625664084
general,arousal,eeg,svr,20,20,eeg_se_theta__PO7,0,46,0.0,0.29327428344493484
general,arousal,eeg,svr,20,20,eeg_se_theta__PO8,0,46,0.0,1.4735250382963783
general,arousal,eeg,svr,20,20,eeg_se_theta__Pz,0,46,0.0,3.0311882129228644
general,arousal,eeg,svr,5,5,eeg_bp_alpha__C3,0,46,0.0,4.8395001020299295
general,arousal,eeg,svr,5,5,eeg_bp_alpha__C4,0,46,0.0,26.698224364505865
general,arousal,eeg,svr,5,5,eeg_bp_alpha__Cz,0,46,0.0,6.815720948141891
general,arousal,eeg,svr,5,5,eeg_bp_alpha__Fz,0,46,0.0,16.198512212357972
general,arousal,eeg,svr,5,5,eeg_bp_alpha__Oz,0,46,0.0,1.6744014911031753
general,arousal,eeg,svr,5,5,eeg_bp_alpha__PO7,0,46,0.0,10.660485315152116
general,arousal,eeg,svr,5,5,eeg_bp_alpha__PO8,0,46,0.0,1.9432811004873627
general,arousal,eeg,svr,5,5,eeg_bp_alpha__Pz,45,46,0.9782608695652174,80.23313141557152
general,arousal,eeg,svr,5,5,eeg_bp_beta__C3,0,46,0.0,0.9325591920251033
general,arousal,eeg,svr,5,5,eeg_bp_beta__C4,0,46,0.0,3.834847585011328
general,arousal,eeg,svr,5,5,eeg_bp_beta__Cz,0,46,0.0,4.000744360574041
general,arousal,eeg,svr,5,5,eeg_bp_beta__Fz,0,46,0.0,6.502022131278722
general,arousal,eeg,svr,5,5,eeg_bp_beta__Oz,0,46,0.0,1.3247857979072983
general,arousal,eeg,svr,5,5,eeg_bp_beta__PO7,0,46,0.0,11.371981286035105
general,arousal,eeg,svr,5,5,eeg_bp_beta__PO8,0,46,0.0,5.522389594794757
general,arousal,eeg,svr,5,5,eeg_bp_beta__Pz,0,46,0.0,23.063695499862433
general,arousal,eeg,svr,5,5,eeg_bp_delta__C3,0,46,0.0,5.3463778104537605
general,arousal,eeg,svr,5,5,eeg_bp_delta__C4,0,46,0.0,3.2682534854947436
general,arousal,eeg,svr,5,5,eeg_bp_delta__Cz,0,46,0.0,4.418615957942825
general,arousal,eeg,svr,5,5,eeg_bp_delta__Fz,0,46,0.0,13.0172872183545
general,arousal,eeg,svr,5,5,eeg_bp_delta__Oz,0,46,0.0,2.796048203471645
general,arousal,eeg,svr,5,5,eeg_bp_delta__PO7,0,46,0.0,3.8845724682121303
general,arousal,eeg,svr,5,5,eeg_bp_delta__PO8,0,46,0.0,6.718534566039267
general,arousal,eeg,svr,5,5,eeg_bp_delta__Pz,0,46,0.0,0.2523954378288423
general,arousal,eeg,svr,5,5,eeg_bp_gamma__C3,0,46,0.0,4.532618810905625
general,arousal,eeg,svr,5,5,eeg_bp_gamma__C4,0,46,0.0,0.12182784161258862
general,arousal,eeg,svr,5,5,eeg_bp_gamma__Cz,0,46,0.0,2.2744349682025944
general,arousal,eeg,svr,5,5,eeg_bp_gamma__Fz,0,46,0.0,0.26431596283796466
general,arousal,eeg,svr,5,5,eeg_bp_gamma__Oz,0,46,0.0,0.20285683110602676
general,arousal,eeg,svr,5,5,eeg_bp_gamma__PO7,0,46,0.0,2.0376039579233236
general,arousal,eeg,svr,5,5,eeg_bp_gamma__PO8,0,46,0.0,4.863225129570936
general,arousal,eeg,svr,5,5,eeg_bp_gamma__Pz,0,46,0.0,0.2746681903358055
general,arousal,eeg,svr,5,5,eeg_bp_theta__C3,0,46,0.0,0.0793186338490144
general,arousal,eeg,svr,5,5,eeg_bp_theta__C4,0,46,0.0,1.7135772766192914
general,arousal,eeg,svr,5,5,eeg_bp_theta__Cz,0,46,0.0,16.17182496003466
general,arousal,eeg,svr,5,5,eeg_bp_theta__Fz,0,46,0.0,15.00283883394828
general,arousal,eeg,svr,5,5,eeg_bp_theta__Oz,0,46,0.0,19.55145328518063
general,arousal,eeg,svr,5,5,eeg_bp_theta__PO7,0,46,0.0,7.9949855727114745
general,arousal,eeg,svr,5,5,eeg_bp_theta__PO8,0,46,0.0,15.072572104252428
general,arousal,eeg,svr,5,5,eeg_bp_theta__Pz,0,46,0.0,1.4352029386273646
general,arousal,eeg,svr,5,5,eeg_hc__C3,23,46,0.5,40.12921554921718
general,arousal,eeg,svr,5,5,eeg_hc__C4,0,46,0.0,27.415477863483414
general,arousal,eeg,svr,5,5,eeg_hc__Cz,0,46,0.0,29.305188755678095
general,arousal,eeg,svr,5,5,eeg_hc__Fz,0,46,0.0,28.500446612307858
general,arousal,eeg,svr,5,5,eeg_hc__Oz,0,46,0.0,23.696226110565917
general,arousal,eeg,svr,5,5,eeg_hc__PO7,36,46,0.782608695652174,41.490325213769445
general,arousal,eeg,svr,5,5,eeg_hc__PO8,46,46,1.0,57.78676643932668
general,arousal,eeg,svr,5,5,eeg_hc__Pz,32,46,0.6956521739130435,40.43049230258843
general,arousal,eeg,svr,5,5,eeg_hm__C3,0,46,0.0,17.80496457793558
general,arousal,eeg,svr,5,5,eeg_hm__C4,0,46,0.0,0.3021573739841284
general,arousal,eeg,svr,5,5,eeg_hm__Cz,1,46,0.021739130434782608,29.950802223320533
general,arousal,eeg,svr,5,5,eeg_hm__Fz,0,46,0.0,14.215923519143914
general,arousal,eeg,svr,5,5,eeg_hm__Oz,0,46,0.0,5.879758627572386
general,arousal,eeg,svr,5,5,eeg_hm__PO7,0,46,0.0,12.023991334594175
general,arousal,eeg,svr,5,5,eeg_hm__PO8,1,46,0.021739130434782608,30.07098091697196
general,arousal,eeg,svr,5,5,eeg_hm__Pz,0,46,0.0,14.383018390506715
general,arousal,eeg,svr,5,5,eeg_mf_hz__C3,45,46,0.9782608695652174,42.67709845779662
general,arousal,eeg,svr,5,5,eeg_mf_hz__C4,0,46,0.0,10.089681392881193
general,arousal,eeg,svr,5,5,eeg_mf_hz__Cz,0,46,0.0,21.794297573476783
general,arousal,eeg,svr,5,5,eeg_mf_hz__Fz,0,46,0.0,9.859756782923396
general,arousal,eeg,svr,5,5,eeg_mf_hz__Oz,0,46,0.0,4.248822173008478
general,arousal,eeg,svr,5,5,eeg_mf_hz__PO7,0,46,0.0,18.27229685769313
general,arousal,eeg,svr,5,5,eeg_mf_hz__PO8,1,46,0.021739130434782608,29.821467373525344
general,arousal,eeg,svr,5,5,eeg_mf_hz__Pz,0,46,0.0,25.334450186984085
general,arousal,eeg,svr,5,5,eeg_sd__C3,0,46,0.0,0.6090470352245111
general,arousal,eeg,svr,5,5,eeg_sd__C4,0,46,0.0,4.582193859863685
general,arousal,eeg,svr,5,5,eeg_sd__Cz,0,46,0.0,0.7518987040607806
general,arousal,eeg,svr,5,5,eeg_sd__Fz,0,46,0.0,5.558836582993354
general,arousal,eeg,svr,5,5,eeg_sd__Oz,0,46,0.0,13.069104128393002
general,arousal,eeg,svr,5,5,eeg_sd__PO7,0,46,0.0,0.08526492588727028
general,arousal,eeg,svr,5,5,eeg_sd__PO8,0,46,0.0,2.8930006282194682
general,arousal,eeg,svr,5,5,eeg_sd__Pz,0,46,0.0,22.179004384116624
general,arousal,eeg,svr,5,5,eeg_se__C3,0,46,0.0,0.5681354012448976
general,arousal,eeg,svr,5,5,eeg_se__C4,0,46,0.0,4.474809075196373
general,arousal,eeg,svr,5,5,eeg_se__Cz,0,46,0.0,11.442860254305831
general,arousal,eeg,svr,5,5,eeg_se__Fz,0,46,0.0,6.273832406186996
general,arousal,eeg,svr,5,5,eeg_se__Oz,0,46,0.0,5.6509064909541475
general,arousal,eeg,svr,5,5,eeg_se__PO7,0,46,0.0,3.1632179217646756
general,arousal,eeg,svr,5,5,eeg_se__PO8,0,46,0.0,13.472466887447652
general,arousal,eeg,svr,5,5,eeg_se__Pz,0,46,0.0,1.2747211770741629
general,arousal,eeg,svr,5,5,eeg_se_alpha__C3,0,46,0.0,0.15520151274426483
general,arousal,eeg,svr,5,5,eeg_se_alpha__C4,0,46,0.0,0.21466554533547552
general,arousal,eeg,svr,5,5,eeg_se_alpha__Cz,0,46,0.0,0.5770205857411955
general,arousal,eeg,svr,5,5,eeg_se_alpha__Fz,0,46,0.0,0.09948462457765438
general,arousal,eeg,svr,5,5,eeg_se_alpha__Oz,0,46,0.0,4.664364981672196
general,arousal,eeg,svr,5,5,eeg_se_alpha__PO7,0,46,0.0,0.29563901980972146
general,arousal,eeg,svr,5,5,eeg_se_alpha__PO8,0,46,0.0,4.569306786466883
general,arousal,eeg,svr,5,5,eeg_se_alpha__Pz,0,46,0.0,5.96417694310542
general,arousal,eeg,svr,5,5,eeg_se_beta__C3,0,46,0.0,0.9643117429458654
general,arousal,eeg,svr,5,5,eeg_se_beta__C4,0,46,0.0,11.09672112307085
general,arousal,eeg,svr,5,5,eeg_se_beta__Cz,0,46,0.0,0.8768599381096914
general,arousal,eeg,svr,5,5,eeg_se_beta__Fz,0,46,0.0,3.446626525962939
general,arousal,eeg,svr,5,5,eeg_se_beta__Oz,0,46,0.0,2.0796565964294342
general,arousal,eeg,svr,5,5,eeg_se_beta__PO7,0,46,0.0,9.794608614066792
general,arousal,eeg,svr,5,5,eeg_se_beta__PO8,0,46,0.0,5.7371445991559655
general,arousal,eeg,svr,5,5,eeg_se_beta__Pz,0,46,0.0,28.322706889658647
general,arousal,eeg,svr,5,5,eeg_se_delta__C3,0,46,0.0,1.3891642094602425
general,arousal,eeg,svr,5,5,eeg_se_delta__C4,0,46,0.0,0.17178922421493215
general,arousal,eeg,svr,5,5,eeg_se_delta__Cz,0,46,0.0,0.03057591015420627
general,arousal,eeg,svr,5,5,eeg_se_delta__Fz,0,46,0.0,0.4762768537719983
general,arousal,eeg,svr,5,5,eeg_se_delta__Oz,0,46,0.0,0.25207736863504954
general,arousal,eeg,svr,5,5,eeg_se_delta__PO7,0,46,0.0,0.51654140133697
general,arousal,eeg,svr,5,5,eeg_se_delta__PO8,0,46,0.0,0.41653783243952547
general,arousal,eeg,svr,5,5,eeg_se_delta__Pz,0,46,0.0,1.4051136728003162
general,arousal,eeg,svr,5,5,eeg_se_gamma__C3,0,46,0.0,29.24185570302742
general,arousal,eeg,svr,5,5,eeg_se_gamma__C4,0,46,0.0,21.885732729906955
general,arousal,eeg,svr,5,5,eeg_se_gamma__Cz,0,46,0.0,6.80376391499425
general,arousal,eeg,svr,5,5,eeg_se_gamma__Fz,0,46,0.0,11.017056883642764
general,arousal,eeg,svr,5,5,eeg_se_gamma__Oz,0,46,0.0,3.9173859002161957
general,arousal,eeg,svr,5,5,eeg_se_gamma__PO7,0,46,0.0,7.78405098066266
general,arousal,eeg,svr,5,5,eeg_se_gamma__PO8,0,46,0.0,5.685644073559085
general,arousal,eeg,svr,5,5,eeg_se_gamma__Pz,0,46,0.0,7.827401787309911
general,arousal,eeg,svr,5,5,eeg_se_theta__C3,0,46,0.0,0.4272532713215939
general,arousal,eeg,svr,5,5,eeg_se_theta__C4,0,46,0.0,4.543524687208455
general,arousal,eeg,svr,5,5,eeg_se_theta__Cz,0,46,0.0,0.12183704428368258
general,arousal,eeg,svr,5,5,eeg_se_theta__Fz,0,46,0.0,3.3699530908187034
general,arousal,eeg,svr,5,5,eeg_se_theta__Oz,0,46,0.0,0.5334460625664084
general,arousal,eeg,svr,5,5,eeg_se_theta__PO7,0,46,0.0,0.29327428344493484
general,arousal,eeg,svr,5,5,eeg_se_theta__PO8,0,46,0.0,1.4735250382963783
general,arousal,eeg,svr,5,5,eeg_se_theta__Pz,0,46,0.0,3.0311882129228644
general,arousal,eeg,svr,all,all,eeg_bp_alpha__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_alpha__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_beta__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_delta__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_gamma__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_bp_theta__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hc__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_hm__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_mf_hz__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_sd__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__PO7,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__PO8,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se__Pz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__C3,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__C4,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__Cz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__Fz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__Oz,46,46,1.0,
general,arousal,eeg,svr,all,all,eeg_se_alpha__PO7,46,46,1.0,
